severity,file,line,category,key,detail
review,translations_zh.csv,2191,CSV 英文残留,AUTO_RESOURCES_ASSETS_224D0F4,"残留英文：embedEffect, embedTags"
review,translations_zh.csv,2194,CSV 英文残留,AUTO_RESOURCES_ASSETS_224D460,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2200,CSV 英文残留,AUTO_RESOURCES_ASSETS_224E284,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2223,CSV 英文残留,AUTO_RESOURCES_ASSETS_2250D0C,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2260,CSV 英文残留,AUTO_RESOURCES_ASSETS_2254B94,"残留英文：tallyThreshold, actionName, damage"
review,translations_zh.csv,2266,CSV 英文残留,AUTO_RESOURCES_ASSETS_22556DC,"残留英文：xx, br"
review,translations_zh.csv,2267,CSV 英文残留,AUTO_RESOURCES_ASSETS_2255708,"残留英文：xx, br"
review,translations_zh.csv,2270,CSV 英文残留,AUTO_RESOURCES_ASSETS_2255974,"残留英文：br, xx"
review,translations_zh.csv,2320,CSV 英文残留,AUTO_RESOURCES_ASSETS_225C144,"残留英文：embedEffect, embedTags"
review,translations_zh.csv,2342,CSV 英文残留,AUTO_RESOURCES_ASSETS_225E17C,"残留英文：rate, actionName, damage"
review,translations_zh.csv,2351,CSV 英文残留,AUTO_RESOURCES_ASSETS_225EE30,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2355,CSV 英文残留,AUTO_RESOURCES_ASSETS_225F196,"残留英文：xx, br"
review,translations_zh.csv,2356,CSV 英文残留,AUTO_RESOURCES_ASSETS_225F206,"残留英文：xx, br"
review,translations_zh.csv,2374,CSV 英文残留,AUTO_RESOURCES_ASSETS_2260B7C,"残留英文：br, xx"
review,translations_zh.csv,2376,CSV 英文残留,AUTO_RESOURCES_ASSETS_2260E54,"残留英文：actionName, damage"
review,translations_zh.csv,2392,CSV 英文残留,AUTO_RESOURCES_ASSETS_2262050,"残留英文：embedEffect, br"
review,translations_zh.csv,2394,CSV 英文残留,AUTO_RESOURCES_ASSETS_2262280,"残留英文：embedEffect, br"
